image,prompt
0014.jpg,"valley, fairytale treehouse village covered, matte painting, highly detailed, dynamic lighting, cinematic, realism, realistic, photo real, sunset,detailed, high contrast, denoised, centered, michael whelan"
0015.jpg,"realistic portrait of an orange cat, bright eyes, with angel wings, radiant and ethereal intricately detailed photography, cinematic lighting, 50mm lens with bokeh"
0016.jpg,"Persian architecture, temple volume atrium light full of rose, hanging gardens, vibrant flowers, architecture in Isfahan, soft colors, slight mist, ,by Jean Leon Gerome, Asher Brown Durand , trending on artstation, fantasy, epic, detailed architecture"
0017.jpg,"highly detailed portrait of a anthro frog mage, humanlike frog holding a wand, elden ring, stephen bliss, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment "
0018.jpg,"sand dragon huge eyes with lightnings and smoke is fighting against little green frog with cyclones, cgsociety, full length, exquisite detail, post - processing, masterpiece, volumetric lighting, cinematic, hypermaximalistic, polarizing filter, high details, sony a 7 r iv, cinematic, 8 k resolution, beautiful detailed, insanely intricate details, sharp edges, smooth focus, low angle, "
0019.jpg,"An art nouveau castle with elegant jade and silver spires, landscape, in the middle of New York City, art nouveau architecture, aerial view, gothic cathedral style arches and ornaments, intricate artwork, octane render, realistic Renaissance oil painting, modern art, trending on artstation, symmetrical artwork. cinematic, photo-realism, high detail, Elden Ring style, octane render, 8k, by Abel Klaer, by Leonid Afremov, by Gustav Dore, by Pete Mohrbacher, by Alena Aenami, electric energy, colorful, psychedelic, nouveau, alphonse mucha, exquisite detail"
0020.jpg,"English Springer Spaniel dog Glamor Shot, Portrait, Rim Lighting, Soft Lighting, Volumetric"
0021.jpg,"old village, wood, dusk, Chinese houses of wood and stone, moss on the street and walls, jacaranda trees, mystical mountain in the background, 3 sleeping dogs on the street, cold, fog, ultra realistic, cinematic"
0022.jpg,"magical autumn forest, eagle hunter, gravel path, red intricate ornamented robe, humanoid body, blue green glowing neon runes, low angle close-up shot, highly detailed eagle head, intense glowing eyes, realistic photograph, reflections, lamp post, dynamic pose action shot, fireflies, hybrid eagle human"
0023.jpg,"a jewelry design, sakura-themed ring, gemstones and diamonds, luxury, closeup, product view, trending on artstation, cgsociety, ultra quality, digital art, exquisite hyper details, 4k, Soft illumination, dreamy, fashion, rendering by unreal engine"
0024.jpg,"well lit fashion shoot portrait of extremely beautiful female wearing massively over size puffer jacket by craig green, dingyun zhang, yeezy, balenciaga, vetements, sharp focus, clear, detailed, cinematic, detailed, off white, glamourous, symmetrical, vogue, editorial, fashion, magazine shoot, glossy"
0025.jpg,"Starvation black monster wolves with red eyes, fight in the ice age Scenery, concept art, cyberpunk, splatter paint, wide angle lens, Zdzislaw Beksinski style, and a little prince boy  walks to the Shining Ethereum shape sun, in winter storm, ultra detailed 4k"
0026.jpg,"RPG fantasy portrait of a cute young female adventurer, with wavy black hair, with dark tan complexion, with big pretty brown eyes, looking friendly and smart, wearing a thick leather belt with many pouches, standing confidently, wearing a long loose fantasy tunic, wearing cloth tights, wearing leather armor, with wide hips, fantasy genre, UHD, HDR, 8K"
0027.jpg,"a portrait of a girl with flowers in a jar, in the style of detailed dreamscapes, storybook illustration, glowing colors, multidimensional shading, mysterious nocturnal scenes"
0028.jpg,"japanese style shrine on top of a misty mountain overgrown, hyper realistic, lush gnarly plants, 8 k, denoised, by greg rutkowski, tom bagshaw, james gurney cinematic lighting "
0029.jpg,in the desert the great pyramid of giza thunderstorm flashes from the top of the great pyramid to the universe
0030.jpg,"shukezouma, octane render, hdr, hyperdetailed, soft light, sharp, 1girl, beautiful girl, ultra detailed eyes, mature, plump, thick, Opal drops, paint teardrops, woman made up from paint, entirely paint, splat, splash, long colored hair, kimono made from paint, ultra detailed texture kimono, Opalescent paint kimono, paint bulb, Water drops, hair ornaments, earrings, flowers hair ornaments, Dragonfly hair ornaments, outdoors, sakura trees, Vivid colors, 16k, UHD, HDR10, Masterpiece, Absurdres, best quality"
0031.jpg,"hyper realistic professional photo of charles chaplin in modern times movie, dressed as a rich man, in the year 1920, Cinematic, 35mm lens, f/1.8, fashion photography instagram coffee influencer photo"
0032.jpg,"octane render of cyberpunk batman by Tsutomu nihei, looking at the camera, chrome silk with intricate ornate weaved golden filiegree, highly ornate, dark mysterious background"
0033.jpg,"girl, forest, the sun is shining, birds are flying, fawns, raccoons, fox, strawberries, trees, hayao miyazaki style, 8k, hd, contour light, high contrast, depth of field, ultra detail, photorealism, cinematography, gigantism, from the first person, lots of details, dark tone, bokeh, epic frame, super realistic texture"
0034.jpg,Pope Francis in 80s Miami Style
0035.jpg,"a city of thieves with a rogue thief walking down the street, 8k, masterpiece, vibrant, artgerm, trending on artstation, highly detailed, mist, full body, volumetric lighting, depth of field, extreme detail, fantasy"
0036.jpg,"hamburger with bacon, lettuce, tomato and cheese, promotional image, hyperquality, products shot, full-color, extreme render, mouthwatering"
0037.jpg,"photogenic woman holding a magical book, magical glowing trails, light dust, fantasy robes, highly detailed fantasy art, cinematic lighting, sharp focus, unreal, render, 4k"
0038.jpg,"pair of shoes made of dried fruit skins, 3d render, bright colours, clean composition, beautiful artwork, nike logo"
0039.jpg,"In the style of Tim Sale, Cool girl with glasses, pleated skirt, white dress shirt with rolled up sleves, holding a baseball bat with nails in it, inked outline, comic book drawing, illustration"
0040.jpg,"photograph close up portrait 62-year-old tough decorated general, clean shaven, serious, stoic cinematic 4k epic detailed 4k epic detailed photograph shot on kodak detailed bokeh cinematic hbo dark moody"
0041.jpg,"8k, RAW photo, best quality, masterpiece, realistic, photo-realistic, ultra-detailed, full body, 1 girl, solo, beautiful detailed sky, detailed tokyo street, night, beautiful detailed eyes, beautiful detailed lips, professional lighting, photon mapping, radiosity, physically-based rendering, extremely detailed eyes and face, beautiful detailed eyes, light on face, cinematic lighting, short jacket, school uniform, 1girl, full body, full-body shot, see-through, looking at viewer, outdoors, brown hair"
0042.jpg,"A stunning and atmospheric 1970's New York street cafe captured in a nostalgic and cinematic style, reminiscent of the golden age of film photography. This vintage scene showcases the bustling urban life, with patrons enjoying their coffee at outdoor tables, surrounded by moving classic automobiles and retro architecture. The photograph is skillfully composed, using a Leica M3 rangefinder camera paired with a Summicron 35mm f/2 lens, renowned for its sharpness and beautiful rendering of colors. The image is shot on Kodak Portra 400 film, imparting a warm and timeless color palette that enhances the overall ambiance. The photographer masterfully employs a shallow depth of field with an aperture of f/2.8, isolating the cafe and its patrons from the bustling city background. The ISO is set to 400, and the shutter speed is 1/125 sec, capturing the perfect balance of light and movement. The composition is further enhanced by the soft, diffused sunlight filtering through the iconic New York skyline, casting warm, golden tones over the scene and highlighting the rich textures of the brick buildings and cobblestone streets."
0043.jpg,"wallpaper, high texture quality photo of black woman, staring at camera, close-up, black and white, Leica 50mm"
0044.jpg,"Idris Elba as Doctor Who, long hair long beard, retrofuturistic style of clothing, with a sonic screwdriver, 2000s color camera quality, professional portrait photography, smoldering eyes, cunning, strategist, time lord victorious, dark cosmic vibe, photorealistic, insanely detailed, intricate balance, high contrast, intense atmosphere, ultra high resolution, detailed human eyes, beautiful face, fashion pose, standing, ominous, powerful, commanding, reflection, lense distortion unreal engine, 8k"
0045.jpg,an ultra realistic macro photo of a portrait of a robotic bee with pollen
0046.jpg,"Close-up shot, commercial photography, face of a middle-aged black saxophonist playing jazz, clothing in the style of the 50s, studio light, 8k octane rendering, high resolution photography, insanely detailed, fine details, stock photo, professional color grading"
0047.jpg,"two old elderly zen monks wearing zen robes riding a rollercoaster, arms raised above their heads, laughing and having fun, bright sunny day at an outdoor amusement park, a sense of wonder, cinematic lighting, rule of thirds composition, action photography"
0048.jpg,"an cat office worker in suit and glasses, portrait, finely detailed cloth, office suit, silk, cinematic lighting, 4k, indoor, intricate details, hdr, intricate details, hyperdetailed, epic realistic, dark shot, neutral colors, hdr, muted colors, intricate, artstation, dramatic, intricate details, technicolor, detailed, rutkowski, intricate, cinematic, detailed, lightroom, natural, perfect, oliver wetter, leibovitz, raw, intricate, high quality, mamiya, exposure blend"
0049.jpg,"fashion ad for stylish dress sandals with quality leather uppers and huge chunky glass wedge soles made from transparent glass, glass wedge soles contain water and a koi fish, fashion runway background, photorealism"
0050.jpg,"gorgeous woman in red dress made with rubies and sparkling diamonds with intricate details, fashion dress, soft silk, detailed texture, brocade, fashion show, beauty face, Sci-fi Victorian room, great hall, turtleneck dress, wedding photography, bridal gown, full body, symmetrical, octane render, highly detailed, peter Mohrbacher, ultra realistic, cinematic lighting, 8k, 4k"
0051.jpg,"sneakers designed by Takashi Murakami, high detail, intricate detail texture, 3d render, unreal engine, octane render, cinematic lighting, 8k"
0052.jpg,"Draw a cute and smiling cat wearing a colorful space suit, floating in the vast space. In the background, show exotic planets and bright stars in a cartoon art style, with vivid details and vibrant colors. Add some spaceships and comets to create a futuristic and fun setting."
0053.jpg,"Architectural photo of a maximalist pink solar green house with lots of flowers and plants, golden light, hyperrealistic surrealism, award winning masterpiece with incredible details, epic stunning pink surrounding and round corners, big windows, art space, green house walls and celling"
0054.jpg,"photo of a solarpunk city, masterpiece, sharp focus, Octane render, photo-realistic, best quality, 16k, photography plants, ultra detail plants, photography solarpunk building, ultra detail solarpunk building, people, people wandering the city, photography clothes, ultra detail clothes"
0055.jpg,"a library is inside a library, in the style of vincent callebaut, fantasy illustration, ethereal trees, contrasting light, earthy organic shapes, 32k uhd, ary scheffer, solarpunk"
0056.jpg,"A beautiful tree glowing in the middle of water, fine details draw, colorful bright, purple theme, fine detail background, centered, the universe in the sky, cinematic light, cinematic, masterpiece, digital art, by albert Bierstadt, by artgerm and greg Rutkowski"
0057.jpg,"perspective, curious secret town of the hobbits in middle earth, cascading houses, hills, garden, steampunk, animation art, fantasy, translucent color wash, limpid, ancient, mysterious, cinematic, smooth, detailed, soft palette, hyperrealism, very small aperture, clear reflection, post production, post-processing, 8k, retouch, HDR, Super-Resolution, Soft Lighting, Ray Tracing Global Illumination, Crystalline, Lumen Reflections, Howard Behrens, djamilaknopf, ghibli, François Schuiten, animated by Madhouse INC, by Studio Trigger, Kyoto Animation, KyoAni, CGI, unreal engine 5, zelda, vray render, Procreate, Trending on Pixiv and artstation and pinterest"
0058.jpg,"A rabbit happy cartoon image, Disney Style, perfect composition, beautiful detailed intricate insanely detailed octane render trending on artstation, 8k artistic photography, photorealistic concept art, soft natural volumetric cinematic perfect light, chiaroscuro, award-winning photograph, masterpiece, oil on canvas, raphael, caravaggio, greg rutkowski, beeple, beksinski, giger"
0059.jpg,"A happy cartoon image, Pixar Style, perfect composition, beautiful detailed intricate insanely detailed octane render trending on artstation, 8k artistic photography, photorealistic concept art, soft natural volumetric cinematic perfect light, chiaroscuro, award-winning photograph, masterpiece, oil on canvas, raphael, caravaggio, greg rutkowski, beeple, beksinski, giger"
0060.jpg,"a girl with horns on her head, inspired by rossdraws, tumblr, lisa frank & sho murase, dark vibrant colors, anime vintage colors, half-demon horn"
0061.jpg,"Create a captivating image of a serene, little kitten nestled comfortably in a peaceful, nocturnal setting. The lighting style should showcase the tranquility of the night, with a soft, moonlit glow caressing the fur of the cat. This image should exhibit exceptional detailing and realism, earning it popularity on ArtStation, drawing inspiration from renowned artists like Carl Kahler, Henriette Ronner-Knip, and Bruno Liljefors."
0062.jpg,"Thomas Kinkade style watercolor painting of a beautiful village in the middle of an enchanted forest, on a beautiful rainy day, sunset, HD"
0063.jpg,"Predator, movie, atmosphere of darkness and horror, clear details, scary muzzle, in the style of illusory wallpaper portraits, colorful realism, modular, intense close-ups, uhd image, realism"
0064.jpg,"Highly detailed RAW portrait of an elderly Irish man with tired, worn textures, distinct skin pores, and a nose piercing. The lighting is flawlessly balanced for photorealism, with a sharp focus and smooth depth of field. Captured in 8K UHD using a Sony Alpha 1 and an 85mm f/1.4 lens at a shutter speed of 1/500 and ISO 100 film. The color palette is neutral and muted, rendering a realistic portrayal."
0065.jpg,"Photo of a seductive Amazon warrior, hyper detail, intimate facial expression, handcrafted cloth worn outfit, war paint, dark woods background, raining, rain showers, dramatic cinematic lighting, concept art, unreal engine 5, RTX, ray tracing, photorealistic"
0066.jpg,"create a toy bear, in the style of Takashi Murakami, cinematic lighting, sharp focus"
0067.jpg,"whimsical, pixar Alice in candy land by Tim Burton anime style, shallow depth of field, wonka, inspired by Ross Tran soft lighting, pink and blue color scheme, highly detailed, high budget, bokeh, cheshire cat epic, gorgeous, by paul zizka, Shaun Jonas by Joel Santana highly detailed Children's storybook style, Soft colors, watercolor style, fashion magazine cover"
0068.jpg,"orange juice in the shape of a cake, a clear and detailed body, amazing colors, charming colors, very detailed and beautiful colors, a stunning background, a charming background, a very detailed and beautiful background, full body, beautiful body, high-resolution picture"
0069.jpg,"100 mm shot, cinematic shot, award winning CGI, perfect angle, island Yggdrasil tree, middle of the ocean, celebration, firework, fantasy, surreal, epic fantasy, dreamland, detailed, finest detailed, ultra detailed, intricate, vibrant color, volumetric lighting, depth of field, hard shadow, reflection, sharp focus, 3D render, unreal engine, HD, UHD, 64K, masterpiece, professional work."
0070.jpg,"Raw, masterpiece, perfectly centered, symmetrical, under water macro shot of a glowing jellyfish, corals, bulbs, luminance, neutral colors, hyperdetailed, cinematic, complex background, extremely detailed, hyper detailed, photorealism, bokeh"
0071.jpg,"dramatic highly detailed render of baby groot driving a go cart, futuristic marvel, by WLOP and Artgerm and Greg Rutkowski and Alphonse Mucha, Beautiful dynamic dramatic lighting, shadows, cinematic atmosphere, Artstation, concept design art, Octane render, 8K, masterpiece, sharp focus, hyper realistic, highly accurate"
0072.jpg,"a fisheye lens photo of a post apocalyptic tribal cyborg dj tweaking and playing synthesizers in the most complicated and technical spiral fractal musical studio, powerful, cinematic, beautifully lit, by donato giancola, by artgerm, by karol bak, 3d, perfect face and body, trending on artstation, octane render, 8k Ultra"
0073.jpg,"A serene waterfall in a lush tropical forest, with sunlight filtering through the canopy, painted in the style of Claude Monet"
0074.jpg,"Character Sheet, complex 3d render ultra detailed of a beautiful porcelain profile japan woman android face, cyborg, robotic parts, beautiful studio soft light, rim light, vibrant details, luxurious cyberpunk, lace, hyper realistic, anatomical, facial muscles, cable electric wires, microchip, elegant, beautiful background, octane render, H. R. Giger style"
0075.jpg,"As I turned the pages, a magnificent tree sprouted from the book, its branches laden with ripe fruit that fell to the floor, filling the room with a sweet, intoxicating aroma, highly detailed, 8k"
0076.jpg,"Masterpiece, Stunning, Best quality, Elegant Japanese geisha, facial closeup"
0077.jpg,"A beautiful anime grass field landscape inspire form your name anime, house, luffu clouds, high details"
0078.jpg,"an image of dog, alert pose, cyberpunk style, wearing bionic helmet, wearing iron man armor, high detail, octane render, very dog, golden armor with chrome plating, bright red and yellow back contrast light, ultra realistic, detailed, 8k, photorealistic"
0079.jpg,"Children book cover, masterpiece, mid shot, highly detailed, concept art, oil painting, gouache, hard brush, An engaging scene featuring a group of diverse kids, deep sea full of Koi fishes, working together to solve a puzzle in an underwater city, Include a mix of charming moments of cooperation, problem-solving, and discovery, while showcasing the rich and imaginative environment of the city, award winning, gibli inspired"
0080.jpg,"A very attractive man, at the pool party full body, 25 years old, muscular man, large sholders, natural lighting, defined pectorals, very big pecs, defined biceps, huge pecs, very masculine, muscular physique, tattoos, smile, street style photography, very realistic, hyper realistic, hyper detailed, UHD, 32k, HDR, High octane render"
0081.jpg,"a beautiful and heavenly, psychedelic mandala art, with mathematical shapes"
0082.jpg,"medium shot photo of a stalking snow leopard, snowy rocky mountain forest on a cloudy day, covered with snow, full body view, highly detailed, high resolution, look at prey with intense gaze, predatory hyper detailed eyes, crisp focus, natural lighting."
0083.jpg,"sketches blueprint of futuristic sci-fi huge spacecraft, warp engines, formulas and annotations, schematic by parts, golden ratio, fake detail, trending pixiv fanbox, acrylic palette knife, style of makoto shinkai studio ghibli genshin impact james gilleard greg rutkowski chiho aoshima"
0084.jpg,"masterpiece, best quality, ultra-realistic, RAW photo, detailed skin, 8k UHD, high quality, digital style painting portrait of a young beautiful military aviator woman, long hair, parachutist military attire and gear, sunset, WW2, war city background, ruin city, mid saturation, highly detailed, digital art, film grain, movie poster style"
0085.jpg,"Capture a close-up shot of a mouth-watering beautifully arranged sushi and sashimi, honey & soy, exuding tempting allure, at 3 Stars MICHELIN restaurant. This gourmet scene showcases clean composition, dramatic soft lighting, and luxurious elegance. The centered composition emphasizes the indulgent appeal. The evening setting, under the expertise of a food stylist, brings out the irresistible beauty of the high-end culinary creation."
0086.jpg,"Action-packed, hyper realistic to a Taekwondo fighters, white kimono, fighting ring and a lot of spectators in the background, put a lot of detail in the eyes, mouth and nose, looking at viewer, portrait, photography, detailed skin, realistic, photo-realistic, 8k, highly detailed, full length frame, High detail RAW color art, diffused soft lighting, shallow depth of field, sharp focus, hyperrealism, cinematic lighting, bokeh"
0087.jpg,"a kathakali dancer from india with beautiful and vibrant colors makeup and expressive eyes, a soul-stirring close-up portrait of a man, grins, her grace enhanced by the soft gradient of natural light, the chiaroscuro effect adding depth, taken by the esteemed photographer Sally Mann, Photography, Hasselblad X1D II with an 80mm f/1.9 lens, set at f/2.8, ISO 64, 1/180s, with ambient light sculpted using a large diffuser and a gold reflector for warmth"
0088.jpg,"Neotokyo Vibrant neon Tokyo street A teenage Girl, Pink and blue hues, crowded shops, retro cabs, manga ads. Dazzling underground Japanese mega city, anime mechas and holograms mixed with serene zen gardens, harmony of ancient tradition and sci-fi future"
0089.jpg,"caricature, homer simpson, hand-drawn, pencil"
0090.jpg,"white clouded dragon wallpaper the fantasy, in the style of fang lijun, gray and cyan, filip hodas, exquisite realism, 32k uhd, himalayan art, balance and harmony, a white dragon in a sky and clouds, in the style of intricately sculpted, photorealistic renderings, chinapunk, gray and cyan, cryengine, exaggerated poses, airbrush art, photo, digital art, fantasy"
0091.jpg,"flock of sheep are having selfie with a grazing on grassland, himalayan background extra detailed, highly realistic, extra detailed, himalayn landscape, hyper realistic"
0092.jpg,"cartoon of a colorful creature, big eyes and big teeth, big ears, light bronze and green schema, rocks on the ground, spiky mounds, humorous tone, full body, strong facial expression, minimalist atmosphere, light colored empty background, wide shot, fantasy, illustration, alejandro jodorowsky comic style"
0093.jpg,"a red dragon ball z character in the forest, in the style of dark gray and brown, handsome"
0094.jpg,"Cimematic shot, A cybernetically enhanced 45-year-old detective, wearing a futuristic trench coat and augmented reality glasses, exudes an aura of cyber-noir intrigue. They stand in a dystopian cityscape, captured in a high-tech portrait by a cyber-noir photographer, 2045. The image is illuminated by neon signs and holographic billboards, performing a psychic attack against enemies on the streets of Neo Tokio, dynamic Action, epic, dramatic, Wide Angle view, photorealistic, neon lights, bokeh, hyper-detailed, style raw"
0095.jpg,mandelbulb city
0096.jpg,"Beautiful caustic glass tea bottle with Genshin impact game world with characters inside, highly intricately detailed, photo realistic, acrylic painting, trending on pixiv fanbox, palette knife and brush strokes, style of makoto shinkai jamie wyeth james gilleard edward hopper greg rutkowski studio ghibli genshin impact"
0097.jpg,"A cover of the Roman male character, in the style of high dynamic range, cut/ ripped"
0098.jpg,"a painting of girl with a white mask and a hat, in the style of yuumei, dark orange and gray, depictions of inclement weather, detailed character design, frank miller, angular, eddie jones"
0099.jpg,"A space pirate crawling desperately on exoplanet surface, extreme haze, spectacle dust"
0100.jpg,"1931 Ford Model A, detailed stunning environment, cinematic, cover art, low front angle, full view of car, intricate, highly detailed, smooth, sharp focus, cinematic lighting, atmospheric, photoreal, 8k, Canon EF 200-400mm f/4L IS USM Extender 1.4x Lens, stan Winston studio"
0101.jpg,A photo of a flower in a transcendent botanical garden taken by a DSLR camera
0102.jpg,"A hyper-realistic and stunning depiction of Nicolas Cage, capturing his charisma and charm, trending on Behance, intricate textures, vivid color palette, reminiscent of Alex Ross and Norman Rockwell."
0103.jpg,"Existentialism, simulation, multiverse, fractals, man floating in space, astral plane, Unreal Engine 5, 8k, sharp photography, cinematic, volumetric lighting, intricate details"
0104.jpg,"a chimpanzee wearing an astronaut spacesuit, hyperrealistic, highly detailed, 8k, classical oil painting, cinematic lighting"
0105.jpg,"analog style, medieval male gypsy peasant, detailed pupils, scars, deformed, mottled patches of skin, dnd character portrait, anne-louis girodet. evocative pose, smile, smirk, look at viewer, oil painting, heavy strokes, oil painting, heavy strokes, symmetrical, soft lighting, highly detailed, concept art"
0106.jpg,"Photo of a man wearing a plastic panda mask, holding a automatic rifle and carrying a duffle bag, police cars, blue light reflections, rain, best lighting, 4K Unity, movie scene, reality shot, super-detailed CG, 8K, octane rendering"
0107.jpg,"Modelshoot Style, Beautiful albino mermaid with silky hair and big reflective green eyes, shimmering eyeshadow, coral crown, pearls, shells, fishes, Hyper Feminie, Pretty Face, Digital Illustration, Cinematic Lighting, Realistic, Sharp Focus, Centered, Beautifully Lit, Underwater, Aquatic, Bioluminescent, sparkles, editorial elegant sophisticated, anime Character Portrait, Symmetrical, Soft Lighting, Reflective Eyes, Intricate Detail, anime Character Design, Beautiful, Tumblr Aesthetic, Hd Photography, Hyperrealism, Realistic, Detailed, Painting by Stanley Artgerm Lau, Alphonse Mucha"
0108.jpg,"cross-section of a world of hobbits in an underground cave system, many creatures, insanely detailed, insanely intricate, insanely detailed, multi level dungeon with mechanics, devices, ropes, torches, orcs and hobbits working and doing their daily life, in style of ""Where is Wally"" ""Where is Waldo"""
0109.jpg,"Most Beautiful dolphin and shark in deep sea teeming with vibrant corals, diverse marine life, and enchanting underwater landscapes, full of corals, acrophore, small fishes, small water melon sea urchin, anemones, small sea lilies, various algaes, caves, colorful, all captured in stunning 8k resolution with intricate details."
0110.jpg,"ancient giant creature shaped like tortoise has an extraterrestrial kingdom on top of it, in the style of realism with fantasy elements, zbrush, fantastical ruins, baroque animals, martin rak, green academia, low depth of field, striking digital surrealism, filip hodas, ultra realistic, junglepunk, vray, richly layered, cryengine, stormy day, vivid colors, high detail, 4k, masterpiece, natural lighting, candle lights, wide shot, sharp focus, dystopian atmosphere, photo, digital art, fantasy, the dark crystal movie style"
0111.jpg,"Raw, Masterpiece, highly detailed character design, symmetrical, perfectly centered portrait of a gorgeous girl wearing a pink fluffy coat, innocent face, glowing skin, Highly detailed eyes and face, Long Flowing Hairs, full body, perfect body, perfect arms, perfect hands, perfect fingers, studio photoshoot, Studio Lights, model shoot style, maximum details, photorealism"
0112.jpg,"olpntng style, cyborg, oil painting, heavy strokes, paint dripping"
0113.jpg,"masterpiece, best quality, tan skin, looking at viewer, sports wear, leggins, sitting, barefoot, simple logo designed background, from below, sunglasses"
0114.jpg,"Portrait of tatooed Snow White Disney movie, character design, detailed hair, punk art, acid punk, cluttered wall with street art background, ethereal, Disney Style"
0115.jpg,"raw, masterpiece, symmetrical, highly detailed dragon made of skittles, smiling, looking at viewer, highly detailed face, highly detailed eyes, studio photoshoot, white background, studio light, Incredibly lit area, raw photo, photorealism"
0116.jpg,"editorial photography a watch tower. Dirty beautiful epic composition high resolution, sharp contrasts, shot on Nikon D730, extremely detailed, 8k, ambient lighting, ultra realistic, realistic CGI, 32k, sharp focus, Hyperrealistic, gritty"
0117.jpg,Coin Block Liveliness: Measures the economic activity of coins proportional to their potential time in the network.
0118.jpg,"Aroma diffuser, inspired by the intricate, ornate designs, with a marble exterior and intricate floral engravings, detailed, digital art, hyper detailed, hyper realistic, white background, depth of field"
0119.jpg,"A gorgonite, in a mythical world, with a cyberpunk outfit, in dynamics, highly detailed, packed with hidden details, style, high dynamic range, hyper realistic, realistic attention to detail, highly detailed, Hyperrealistic, splash art, concept art, mid shot, intricately detailed, color depth, dramatic, 2/3 face angle, side light, colorful background"
0120.jpg,"jim pavelec, detailed expressive eyes, fantasy style, the mystical inert logwonk, shown here with its iridescent scales briscmeggling in the moonlight, it often shmuggles among bioluminescent mushrooms and fireflies in the ramshmorgeling forest glades on planet laugternova vi, dark fantasy, colorful, masterpiece, best quality, professional artwork"
0121.jpg,"a tattoo parlor, detailed stunning environment, cinematic, cover art, low front angle, full view of tattoo parlor, intricate, highly detailed, smooth, sharp focus, cinematic lighting, atmospheric, photoreal, 8k, Canon EF 200-400mm f/4L IS USM Extender 1.4x Lens, stan Winston studio"
0122.jpg,"Portrait of Afro Jack Samurai, glare pose, detailed, intricate, full of colour, cinematic lighting, trending on artstation, 8k, hyperrealistic, focused, extreme details, unreal engine 5, cinematic, masterpiece work"
0123.jpg,"A determined 35-year-old space colonist, wearing a high-tech space suit and holding a Martian soil sample, embodies the spirit of interplanetary exploration. They stand on the surface of Mars, captured in a historic portrait by a space exploration photographer, 2055. The image is framed through the visor of the space helmet, revealing the Martian landscape."
